date,tmin,tmax,jour_semaine,weekend,jour_ferie,saison,Date,Type de jour TEMPO
2018-01-01,6.501796407185629,11.188690476190477,Monday,False,True,Hiver,2018-01-01,BLEU
2018-01-02,6.229518072289156,12.299397590361446,Tuesday,False,False,Hiver,2018-01-02,BLEU
2018-01-03,8.244848484848486,14.868484848484847,Wednesday,False,False,Hiver,2018-01-03,BLEU
2018-01-04,9.10059880239521,14.82874251497006,Thursday,False,False,Hiver,2018-01-04,BLEU
2018-01-05,7.344311377245509,13.331547619047615,Friday,False,False,Hiver,2018-01-05,BLEU
2018-01-06,6.083431952662721,10.565294117647058,Saturday,True,False,Hiver,2018-01-06,BLEU
2018-01-07,6.811309523809523,10.40529411764706,Sunday,True,False,Hiver,2018-01-07,BLEU
2018-01-08,5.614457831325301,10.159171597633136,Monday,False,False,Hiver,2018-01-08,BLANC
2018-01-09,4.369325153374233,10.296951219512197,Tuesday,False,False,Hiver,2018-01-09,BLANC
2018-01-10,5.407926829268293,10.964242424242425,Wednesday,False,False,Hiver,2018-01-10,BLANC
2018-01-11,4.064670658682634,9.41556886227545,Thursday,False,False,Hiver,2018-01-11,ROUGE
2018-01-12,3.172289156626506,8.691071428571428,Friday,False,False,Hiver,2018-01-12,ROUGE
2018-01-13,1.7433734939759036,8.28562874251497,Saturday,True,False,Hiver,2018-01-13,BLANC
2018-01-14,2.701204819277108,8.832934131736526,Sunday,True,False,Hiver,2018-01-14,BLEU
2018-01-15,3.3813253012048192,10.563855421686746,Monday,False,False,Hiver,2018-01-15,BLANC
2018-01-16,7.12716049382716,12.038036809815951,Tuesday,False,False,Hiver,2018-01-16,BLANC
2018-01-17,5.045731707317073,10.27716049382716,Wednesday,False,False,Hiver,2018-01-17,BLEU
2018-01-18,5.132926829268293,11.42848484848485,Thursday,False,False,Hiver,2018-01-18,BLEU
2018-01-19,5.031927710843373,10.466467065868263,Friday,False,False,Hiver,2018-01-19,BLANC
2018-01-20,4.536363636363636,11.312727272727273,Saturday,True,False,Hiver,2018-01-20,BLEU
2018-01-21,7.748148148148148,12.232515337423314,Sunday,True,False,Hiver,2018-01-21,BLEU
2018-01-22,8.389506172839505,13.42037037037037,Monday,False,False,Hiver,2018-01-22,BLANC
2018-01-23,6.956213017751479,12.871005917159762,Tuesday,False,False,Hiver,2018-01-23,BLANC
2018-01-24,7.041420118343195,13.65357142857143,Wednesday,False,False,Hiver,2018-01-24,BLANC
2018-01-25,6.985714285714285,11.815976331360948,Thursday,False,False,Hiver,2018-01-25,BLANC
2018-01-26,4.823529411764706,10.099411764705884,Friday,False,False,Hiver,2018-01-26,ROUGE
2018-01-27,3.165088757396449,8.84792899408284,Saturday,True,False,Hiver,2018-01-27,BLEU
2018-01-28,4.262573099415205,10.88,Sunday,True,False,Hiver,2018-01-28,BLEU
2018-01-29,6.158579881656804,10.801785714285714,Monday,False,False,Hiver,2018-01-29,ROUGE
2018-01-30,6.1535714285714285,10.754437869822484,Tuesday,False,False,Hiver,2018-01-30,ROUGE
2018-01-31,5.060355029585799,10.557058823529411,Wednesday,False,False,Hiver,2018-01-31,BLANC
2018-02-01,3.103550295857988,8.392899408284023,Thursday,False,False,Hiver,2018-02-01,ROUGE
2018-02-02,1.6142011834319527,7.241071428571429,Friday,False,False,Hiver,2018-02-02,ROUGE
2018-02-03,2.0278106508875737,7.023076923076924,Saturday,True,False,Hiver,2018-02-03,BLANC
2018-02-04,0.9672619047619048,7.001183431952663,Sunday,True,False,Hiver,2018-02-04,BLEU
2018-02-05,0.8538461538461537,4.972941176470588,Monday,False,False,Hiver,2018-02-05,ROUGE
2018-02-06,0.67,5.138011695906433,Tuesday,False,False,Hiver,2018-02-06,ROUGE
2018-02-07,-0.1136904761904762,3.86,Wednesday,False,False,Hiver,2018-02-07,ROUGE
2018-02-08,-1.555621301775148,5.077058823529412,Thursday,False,False,Hiver,2018-02-08,ROUGE
2018-02-09,-1.259171597633136,5.70421686746988,Friday,False,False,Hiver,2018-02-09,ROUGE
2018-02-10,-0.3982248520710059,7.242011834319527,Saturday,True,False,Hiver,2018-02-10,BLANC
2018-02-11,1.8220238095238095,9.339644970414202,Sunday,True,False,Hiver,2018-02-11,BLEU
2018-02-12,0.0845238095238095,7.738823529411764,Monday,False,False,Hiver,2018-02-12,ROUGE
